"","Locality","Longitude","Latitude"
"1","Katalupaï",165.008391,-20.85251455
"49","Laguen",164.780212,-20.62504
"56","Arago",165.4765625,-21.24147606
"68","Ateou",164.9203294,-20.95063655
"74","Prokomeo",165.8697253,-21.49363895
"76","Forêt Plate P17",165.107077,-21.122677
"77","Forêt Plate P26",165.111632,-21.133673
"82","Forêt Plate P09",165.122272,-21.146053
"108","Forêt Plate P12",165.120361,-21.148142
"124","Calcaires de Koumac",164.355251,-20.539273
"229","Wekori",165.7252931,-21.37860638
"273","Col d'Amoss",164.4378742,-20.30602285
"274","Grand Lac",166.9039194,-22.27494722
"277","Gohapin",165.2407684,-21.25712776
"283","Djeve",165.434952,-21.226105
"285","Bouirou",165.545395,-21.416931
"322","Tiwae",165.133563,-20.8148359
"330","Tiebaghi",164.2260028,-20.43131151
"430","Paoua",165.0959734,-21.16776648
"472","Kouaoua",165.7504764,-21.43766426
"573","Aoupinié",165.277313,-21.177801
